"ID",Isolate Number,HN,Unit,Species,Breed,Sex,Submitted sample,Method of collection,Methods,Vitek card lot,Bacterial species identification,Counting (CFU/mL),ESBL,Ampicillin,ampicillin_,Amoxicillin/clavulanic acid,amoxicillin/clavulanic acid_,Cephalexin,cephalexin_,Cefalothin,cefalothin_,Cefpodoxime,cefpodoxime_,Cefovecin,cefovecin_,Ceftiofur,ceftiofur_,Imipenem,imipenem_,Amikacin,amikacin_,Gentamicin,gentamicin_,Neomycin,neomycin_,Enrofloxacin,enrofloxacin_,Marbofloxacin,marbofloxacin_,Pradofloxacin,pradofloxacin_,Doxycycline,doxycycline_,Tetracycline,tetracycline_,Nitrofurantoin,nitrofurantoin_,Chloramphenicol,chloramphenicol_,Sulfamethoxazole/trimethoprim,sulfamethoxazole/trimethoprim_,Specific resistance phenotype,Interpretation and recommendation
163,M560/2566,6515750,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Siberian Husky,Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Proteus mirabilis,>10^5,NA,>=32,R,16,I,16,S,16,S,<=0.25,S,<=0.5,S,<=1,S,2,I,<=2,S,>=16,R,4,S,>=4,R,1,S,0.25,S,>=16,R,>=16,R,128,R,>=64,R,>=320,R,Proteus mirabilis,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่ 
     o Cephalexin 30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Marbofloxacin 11-22 mg/kg q24h หรือแบ่งให้ 5.5-11 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหาย
        สนิท และให้ยาต่อไปอีก 1-2 สัปดาห์"
164,M568/2566,6603507,หน่วยอายุรกรรมทั่วไปและเวชศาสตร์ป้องกัน,Cat,Domestic Shorthair (DSH),Male,urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,<=2,S,<=2,S,8,S,4,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,>=4,R,>=4,R,1,I,<=0.5,S,<=1,S,<=16,S,<=2,S,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก
        1-2 สัปดาห์
     o Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o	 Cefovecin 8 mg/kg SC once"
165,M573/2566,6006390,ห้องผ่าตัด,Cat,Persian,Male,UB mucosa+calculus,NA,Vitek/MALDI,GN-AST,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,S,<=2,S,2,S,NA,NA,2,I,<=0.5,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas aeruginosa,"-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Marbofloxacin 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
        (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หากแมวมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)
     o 	Gentamicin 12 mg/kg q24h หรือแบ่งให้ 6 mg/kg q12h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท 
        และให้ยาต่อไปอีก 1-2 สัปดาห์ (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หากแมวมีความผิดปกติของไตหรือเกิด
        ภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)"
166,M578/2566,6602827,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Mixed breed,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,>10^5,NEG,>=32,R,<=2,S,<=4,S,<=2,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,Klebsiella pneumoniae,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก
        1-2 สัปดาห์
     o Cephalexin 25-30 mg/kg q12h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o	 Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท"
167,M577/2566,,,Cat,Thai,Female,แผลถูกของมีคมบาดทะลุ,NA,Vitek/MALDI,GN-AST,Neisseria zoodegmatis,NA,NEG,<=2,NA,<=2,NA,<=4,NA,4,NA,<=0.25,NA,<=0.5,NA,<=1,NA,<=0.25,NA,16,NA,<=1,NA,<=2,NA,<=0.12,NA,<=0.5,NA,<=0.12,NA,<=0.5,NA,<=1,NA,<=16,NA,<=2,NA,<=20,NA,Neisseria zoodegmatis,"- 	เชื้อนี้บทบาทเป็นเชื้อประจำถิ่น ปกติไม่มีบทบาทในการก่อโรคหรือโอกาสที่ทำให้เกิดการติดเชื้อแบบฉวยโอกาสน้อยมาก จึงอาจเกิดการปนเปื้อนมายังรอยโรคหรือตัวอย่างได้สูง
-	 เนื่องจากเป็นเชื้อที่ไม่ก่อโรค จึงไม่มีค่ามาตรฐานในการแปลผลความไวรับ
-	 แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Cephalexin 25-30 mg/kg q12h PO for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่
        เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก  
        2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
168,M586/2566,6511250,แผนกสูติกรรม,Dog,Mixed breed,Male,prostatic abscess,NA,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,NA,NEG,>=32,R,<=2,S,<=4,S,<=2,S,<=0.25,S,1,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,R,<=1,S,32,S,4,S,<=20,S,Klebsiella pneumoniae,"-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 6-8 weeks หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Enrofloxacin 5 mg/kg q24h PO AC for 6-8 weeks หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for 6-8 weeks หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์"
169,M583/2566,6514024,ห้องผ่าตัด,Dog,French Bulldog,Male,Gastric mucosa,NA,Vitek/MALDI,GN-AST,Escherichia coli,NA,NEG,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,<=2,S,<=1,S,16,I,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,128,R,16,I,>=320,R,Escherichia coli,"- เนื่องจากความเป็นกรดสูงในกระเพาะอาหาร ไม่เหมาะต่อการเจริญและการเกิดการติดเชื้อ E. coli จึงมีโอกาสสูงที่จะเกิดจากการปนเปื้อนของเชื้อนี้มาในกระบวนการเก็บตัวอย่าง
- หากสงสัยว่ามีการติดเชื้อแบคทีเรียในกระเพาะอาหาร โดยเฉพาะอย่างยิ่ง Helicobacter spp. แนะนำให้ทำการวินิจฉัยด้วย cytologic examination และยืนยันด้วย histopathology"
170,M581/2566,6603533,ห้องผ่าตัด,Dog,Mixed breed,Male,Surgical site (abdominal cavity),NA,Vitek/MALDI,GN-AST,Escherichia coli,NA,NEG,>=32,R,8,R,8,R,16,R,<=0.25,S,1,R,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,>=4,R,>=4,R,>=4,R,8,I,>=16,R,<=16,S,>=64,R,>=320,R,Escherichia coli,"- 	แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Amikacin 15 mg/kg q24h SC, IM for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็น
        การติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หาก
        สุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)
     o 	Gentamicin 6 mg/kg q24h SC, IM for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็น
        การติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หาก
        สุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
171,M579/2566,,,Dog,Chihuahua,Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,1.0x10^3,NEG,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,<=16,S,4,S,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Enrofloxacin 5 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
     o Marbofloxacin 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์"
172,M574/2566,6204445,หน่วยหอสัตว์ป่วยใน,Dog,Chihuahua,Female,urine,catheterization,Vitek/MALDI,GN-AST,Pseudomonas aeruginosa,2.0x10^3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,S,4,S,2,S,NA,NA,1,I,<=0.5,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas aeruginosa,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Marbofloxacin 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Amikacin 30 mg/kg q24h หรือแบ่งให้ 15 mg/kg q12h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท 
        และให้ยาต่อไปอีก 1-2 สัปดาห์ (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิด
        ภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)
     o 	Gentamicin 12 mg/kg q24h หรือแบ่งให้ 6 mg/kg q12h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท 
        และให้ยาต่อไปอีก 1-2 สัปดาห์ (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิด
        ภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)"
173,M592/2566,6603634,ห้องผ่าตัด,Cat,Domestic Shorthair (DSH),Female,Rt HL (Surgical site),NA,Vitek/MALDI,GN-AST,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,S,>=64,R,>=16,R,NA,NA,>=4,R,>=4,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas aeruginosa,"- 	แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ได้แก่
     o	 Imipenem 10 mg/kg q6h หรือ 20 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days หรือให้ยาต่อเนื่องจน
        อาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์"
174,M556/2566,5605741,หน่วยเวชศาสตร์ฉุกเฉิน,Dog,Golden Retriever,Male,hemoculture,NA,Vitek/Vitek,GN-AST,Ochrobactrum anthropi,NA,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,TRM,NA,Ochrobactrum anthropi,"- Ochrobactrum anthropi เป็น non-fermenting gram-negative bacilli พบได้ในสิ่งแวดล้อม ทำให้เกิดการติดเชื้อฉวยโอกาสได้
- 	ชุดทดสอบไม่รองรับการทดสอบความไวรับต่อยาต้านจุลชีพของเชื้อนี้ จึงส่งเชื้อไปทำการทดสอบความไวรับต่อยาต้านจุลชีพด้วย disk diffusion test และจะรายงานผลอีกครั้ง"
175,M595.1/2566,6603690,หน่วยเวชศาสตร์ฉุกเฉิน,Dog,Pomeranian,Male,hemoculture,NA,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,NA,NEG,>=32,R,<=2,S,<=4,S,<=2,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=20,S,<=20,S,Klebsiella pneumoniae,"-	 การติดเชื้อในเลือดจัดเป็น medical emergency มีอันตรายและความเสี่ยงที่ทำให้เกิดการติดเชื้อทั่วร่างกาย จำเป็นต้องใช้ยาต้านจุลชีพตามระบบ แนะนำให้ใช้ยาฉีดมากกว่ายากิน ซึ่งยาที่แนะนำและได้ผลต่อเชื้อทั้ง 2 ชนิด ตามลำดับ ได้แก่
     o 	Enrofloxacin 5 mg/kg q24h SC (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at least 7 d หรือให้ยาต่อเนื่องจนอาการหาย
        สนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 		Marbofloxacin 5.5-11 mg/kg q24h SC (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at least 7 d หรือให้ยาต่อเนื่องจน
        อาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	(หากอาการไม่รุนแรง) Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการ
        หายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
176,M595.2/2566,6603690,หน่วยเวชศาสตร์ฉุกเฉิน,Dog,Pomeranian,Male,hemoculture,NA,Vitek/MALDI,GN-AST,Escherichia coli,NA,NEG,>=32,R,8,R,8,R,8,R,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,8,I,>=16,R,<=16,S,<=2,S,<=20,S,Escherichia coli,"-	 การติดเชื้อในเลือดจัดเป็น medical emergency มีอันตรายและความเสี่ยงที่ทำให้เกิดการติดเชื้อทั่วร่างกาย จำเป็นต้องใช้ยาต้านจุลชีพตามระบบ แนะนำให้ใช้ยาฉีดมากกว่ายากินซึ่งยาที่แนะนำและได้ผลต่อเชื้อทั้ง 2 ชนิด ตามลำดับ ได้แก่
     o 	Enrofloxacin 5 mg/kg q24h SC (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at least 7 d หรือให้ยาต่อเนื่องจนอาการหาย
        สนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 		Marbofloxacin 5.5-11 mg/kg q24h SC (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at least 7 d หรือให้ยาต่อเนื่องจน
        อาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	(หากอาการไม่รุนแรง) Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการ
        หายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
177,M607/2566,,,Dog,Shih Tzu,Male,urine,เจาะผ่านช่องท้อง,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,8,S,8,S,4,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,>=16,R,<=2,S,>=4,R,>=4,R,1,I,4,R,>=16,R,<=16,S,<=2,S,>=320,R,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
- 	ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์"
178,M606/2566,6603841,หน่วยเวชศาสตร์ฉุกเฉิน,Dog,Pomeranian,Male,bite wound @ neck,NA,Vitek/MALDI,GN-AST,Aeromonas caviae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<=0.25,S,<=2,S,<=1,S,NA,NA,<=0.12,S,<=0.5,S,NA,NA,NA,NA,<=1,S,NA,NA,<=2,S,<=20,S,Aeromonas caviae,"-	 แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Enrofloxacin 5 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่
        เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ใน
        กรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
179,M608/2566,5910904,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Pug,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,8,S,8,S,8,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,>=4,R,>=4,R,1,I,1,R,<=1,S,<=16,S,8,S,<=20,S,Escherichia coli,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o	 Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
- 	ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์"
180,M621/2566,6603660,หน่วยหอสัตว์ป่วยวิกฤต,Dog,Mixed breed,Male,urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,POS,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,16,R,>=16,R,<=2,S,>=4,R,>=4,R,>=4,R,8,R,>=16,R,<=16,S,>=64,R,>=320,R,Escherichia coli,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์"
